SEMESTRE 1,,,,,SEMESTRE 2,,,,,SEMESTRE 3,,,,,SEMESTRE 4,,,,,,,,,,,,,,,,,,,,
Materia,U.C,A,D,,Materia,U.C,A,D,,Materia,U.C,A,D,,Materia,U.C,A,D,,,,,,,,,,,,,,,,,
Física General I,5,1,1,,Física General II,5,1,1,,Cálculo III,5,1,1,,Redes Eléctricas I,5,1,1,,,,,,,,,,,,,,,,,
Cálculo I,5,1,1,,Cálculo II,5,1,1,,Ecuaciones Diferenciales Ordinarias,5,1,1,,Variable Compleja y Cálculo Operacional,4,1,1,,,,,,,,,,,,,,,,,
Introducción a la Ingeniería,2,1,1,,Laboratorio de Física I,1,1,1,,Mecánica Aplicada,4,0,1,,Cálculo Vectorial,2,1,1,,,,,,,,,,,,,,,,,
Lengua y Comunicación,2,1,1,,Álgebra Lineal y Geometría,4,1,1,,Programación,4,1,1,,Tópicos de Física General,4,1,1,,,,,,,,,,,,,,,,,
Geometría Descriptiva I,5,1,1,,Química General I,5,1,1,,Inglés I,3,1,1,,Redacción de Informes,3,0,1,,,,,,,,,,,,,,,,,
,19,,,,,20,,,,,18,,,,Inglés Conversacional I,3,1,1,,,,,,,,,,,,,,,,,
SEMESTRE 5,,,,,SEMESTRE 6,,,,,SEMESTRE 7,,,,,,21,,,,,,,,,,,,,,,,,,,
Materia,U.C,A,D,,Materia,U.C,A,D,,Materia,U.C,A,D,,,,,,,,,,,,,,,,,,,,,,
Redes Eléctricas II,4,1,1,,Lógica Digital,3,1,1,,Sistemas de Control I,5,1,1,,,,,,,,,,,,,,,,,,,,,,
Electrónica I,5,1,1,,Teoría Electromagnética,4,1,1,,Sistemas de Potencia I,3,1,1,,,,,,,,,,,,,,,,,,,,,,
Análisis de Sistemas Lineales,4,1,1,,Redes Eléctricas III,4,1,1,,Comunicaciones I,5,1,1,,,,,,,,,,,,,,,,,,,,,,
Probabilidades,3,1,1,,Laboratorio de Ing. Eléctrica II,1,0,1,,Conversión de Energía,3,0,1,,,,,,,,,,,,,,,,,,,,,,
Cálculo Numérico,4,1,1,,Electrónica II,5,1,1,,Sistemas Digitales I,4,1,1,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Ing. Eléctrica I,2,1,1,,Sistemas de Telecomunicaciones I,3,1,1,,,20,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Especialización,,,,,,,,,,U.C Aprobadas,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMESTRE 8,,,,,SEMESTRE 9,,,,,SEMESTRE 10,,,,,Electivas técnicas,,,,,,,,,,,,,,,,,,,,
Materia,U.C,A,D,,Materia,U.C,A,D,,Materia,U.C,A,D,,Materia,U.C,A,D,,,,,,,,,,,,,,,,,
Instrumentación y Control Industrial,4,1,1,,Electrónica de Potencia I,4,0,1,,Accionamiento y Contr. Motor Elect.,5,0,0,,#CALC!,#CALC!,#CALC!,#CALC!,,,,,,,,,,,,,,,,,
Canalizaciones y Distribución,4,0,1,,Trabajo de Grado I,4,0,1,,Trabajo de Grado II,9,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
